Skenario Ke,Kernel,Jumlah Kalimat,Threshold,Accuracy,Waktu Komputasi (detik)
Skenario Ke- 1,rbf,10,0.1,0.94,0.2761037349700928
Skenario Ke- 2,rbf,10,0.2,0.38,0.01837444305419922
Skenario Ke- 3,rbf,10,0.3,0.46,0.02063274383544922
Skenario Ke- 4,rbf,10,0.4,0.42,0.017609596252441406
Skenario Ke- 5,rbf,10,0.5,0.4,0.022708892822265625
Skenario Ke- 6,rbf,10,0.6,0.42,0.01703500747680664
Skenario Ke- 7,rbf,10,0.7,0.34,0.030402183532714844
Skenario Ke- 8,rbf,10,0.8,0.34,0.027735233306884766
Skenario Ke- 9,rbf,10,0.9,0.54,0.01770615577697754
Skenario Ke- 10,rbf,11,0.1,0.44,0.017589330673217773
Skenario Ke- 11,rbf,11,0.2,0.22,0.0181119441986084
Skenario Ke- 12,rbf,11,0.3,0.4,0.01864790916442871
Skenario Ke- 13,rbf,11,0.4,0.28,0.026340246200561523
Skenario Ke- 14,rbf,11,0.5,0.3,0.03382396697998047
Skenario Ke- 15,rbf,11,0.6,0.4,0.016824960708618164
Skenario Ke- 16,rbf,11,0.7,0.34,0.016747236251831055
Skenario Ke- 17,rbf,11,0.8,0.48,0.02756953239440918
Skenario Ke- 18,rbf,11,0.9,0.46,0.017704248428344727
Skenario Ke- 19,rbf,12,0.1,0.38,0.01676774024963379
Skenario Ke- 20,rbf,12,0.2,0.4,0.027232646942138672
Skenario Ke- 21,rbf,12,0.3,0.22,0.02934122085571289
Skenario Ke- 22,rbf,12,0.4,0.32,0.017386674880981445
Skenario Ke- 23,rbf,12,0.5,0.38,0.01666545867919922
Skenario Ke- 24,rbf,12,0.6,0.34,0.02075982093811035
Skenario Ke- 25,rbf,12,0.7,0.36,0.021715641021728516
Skenario Ke- 26,rbf,12,0.8,0.3,0.026575803756713867
Skenario Ke- 27,rbf,12,0.9,0.42,0.03211212158203125
Skenario Ke- 28,rbf,13,0.1,0.36,0.018106460571289062
Skenario Ke- 29,rbf,13,0.2,0.36,0.01708221435546875
Skenario Ke- 30,rbf,13,0.3,0.28,0.017052888870239258
Skenario Ke- 31,rbf,13,0.4,0.42,0.01800847053527832
Skenario Ke- 32,rbf,13,0.5,0.4,0.02030348777770996
Skenario Ke- 33,rbf,13,0.6,0.32,0.027924537658691406
Skenario Ke- 34,rbf,13,0.7,0.36,0.017172574996948242
Skenario Ke- 35,rbf,13,0.8,0.42,0.017810583114624023
Skenario Ke- 36,rbf,13,0.9,0.36,0.017382144927978516
Skenario Ke- 37,rbf,14,0.1,0.4,0.018557071685791016
Skenario Ke- 38,rbf,14,0.2,0.46,0.01838064193725586
Skenario Ke- 39,rbf,14,0.3,0.5,0.04458284378051758
Skenario Ke- 40,rbf,14,0.4,0.26,0.03191542625427246
Skenario Ke- 41,rbf,14,0.5,0.38,0.019189119338989258
Skenario Ke- 42,rbf,14,0.6,0.44,0.025160551071166992
Skenario Ke- 43,rbf,14,0.7,0.3,0.017063140869140625
Skenario Ke- 44,rbf,14,0.8,0.42,0.017247676849365234
Skenario Ke- 45,rbf,14,0.9,0.32,0.01703953742980957
Skenario Ke- 46,rbf,15,0.1,0.34,0.03193855285644531
Skenario Ke- 47,rbf,15,0.2,0.44,0.016906261444091797
Skenario Ke- 48,rbf,15,0.3,0.4,0.01848459243774414
Skenario Ke- 49,rbf,15,0.4,0.4,0.017801523208618164
Skenario Ke- 50,rbf,15,0.5,0.38,0.01705336570739746
Skenario Ke- 51,rbf,15,0.6,0.16,0.018329858779907227
Skenario Ke- 52,rbf,15,0.7,0.38,0.032140254974365234
Skenario Ke- 53,rbf,15,0.8,0.38,0.026499032974243164
Skenario Ke- 54,rbf,15,0.9,0.16,0.019662857055664062
Skenario Ke- 55,poly,10,0.1,0.3,0.01651310920715332
Skenario Ke- 56,poly,10,0.2,0.3,0.016259431838989258
Skenario Ke- 57,poly,10,0.3,0.4,0.020979642868041992
